model,is_poison,epoch,lr,acc
Target_ResNet_18,False,40,2.0614904418945312,21.959999999999997
Target_ResNet_18,True,41,2.177756393432617,0%
Target_ResNet_18,False,41,2.0479716186523436,22.48
Target_ResNet_18,True,42,2.200475242614746,0%
Target_ResNet_18,False,42,2.016179455566406,24.07
Target_ResNet_18,True,43,2.339771369934082,0%
Target_ResNet_18,False,43,1.9849132568359376,26.25
Target_ResNet_18,True,44,2.3203207778930666,0%
Target_ResNet_18,False,44,1.972838720703125,28.76
Target_ResNet_18,True,45,2.220160614013672,0%
Target_ResNet_18,False,45,1.9527054321289063,28.93
Target_ResNet_18,True,46,2.232384811401367,0%
Target_ResNet_18,False,46,1.9376959106445313,28.799999999999997
Target_ResNet_18,True,47,2.2388432693481444,0%
Target_ResNet_18,False,47,1.9237283081054688,29.5
Target_ResNet_18,True,48,2.276648178100586,0%
Target_ResNet_18,False,48,1.9197235229492187,30.130000000000003
Target_ResNet_18,True,49,2.281199638366699,0%
Target_ResNet_18,False,49,1.9032458984375,29.95
Target_ResNet_18,True,50,2.343218101501465,0%
Target_ResNet_18,False,50,1.8791467651367189,30.72
Target_ResNet_18,True,51,2.3811699295043947,0%
Target_ResNet_18,False,51,1.8545693603515625,31.05
Target_ResNet_18,True,52,2.25909854888916,0%
Target_ResNet_18,False,52,1.8440926513671876,31.380000000000003
Target_ResNet_18,True,53,2.252835037231445,0%
Target_ResNet_18,False,53,1.8381951782226562,31.61
Target_ResNet_18,True,54,2.3002299575805663,0%
Target_ResNet_18,False,54,1.834468505859375,31.44
Target_ResNet_18,True,55,2.311621536254883,0%
Target_ResNet_18,False,55,1.8196514404296875,31.819999999999997
Target_ResNet_18,True,56,2.346877494812012,0%
Target_ResNet_18,False,56,1.8007376342773438,32.76
Target_ResNet_18,True,57,2.433830207824707,0%
Target_ResNet_18,False,57,1.788972509765625,34.28
Target_ResNet_18,True,58,2.422359375,0%
Target_ResNet_18,False,58,1.781861572265625,35.77
Target_ResNet_18,True,59,2.4884566650390627,0%
Target_ResNet_18,False,59,1.7670674072265624,35.52
Target_ResNet_18,True,60,2.4905478591918944,0%
Target_ResNet_18,False,60,1.7620820434570312,35.28
Target_ResNet_18,True,61,2.470444808959961,0%
Target_ResNet_18,False,61,1.7585811767578126,35.02
Target_ResNet_18,True,62,2.5377477951049805,0%
Target_ResNet_18,False,62,1.7536200073242187,35.35
Target_ResNet_18,True,63,2.494193130493164,0%
Target_ResNet_18,False,63,1.7466617431640625,36.02
Target_ResNet_18,True,64,2.494299850463867,0%
Target_ResNet_18,False,64,1.734009619140625,35.77
Target_ResNet_18,True,65,2.52404020690918,0%
Target_ResNet_18,False,65,1.7339357666015625,35.13
Target_ResNet_18,True,66,2.4634334259033204,0%
Target_ResNet_18,False,66,1.7302481079101562,35.6
Target_ResNet_18,True,67,2.468751220703125,0%
Target_ResNet_18,False,67,1.7217359497070313,35.949999999999996
Target_ResNet_18,True,68,2.483110641479492,0%
